probe chr TSS NAME strand
1 19 58864865 A1BG -
29974 10 52645435 A1CF -
2 12 9268825 A2M -
144568 12 8975068 A2ML1 +
127550 1 33786699 A3GALT2 -
53947 22 43117304 A4GALT -
51146 3 137851229 A4GNT -
8086 12 53718648 AAAS -
65985 12 125549925 AACS +
13 3 151531825 AADAC +
344752 3 151451704 AADACL2 +
126767 1 12776118 AADACL3 +
343066 1 12704566 AADACL4 +
51166 4 171012850 AADAT -
195827 9 99417585 AAED1 -
79719 15 67547533 AAGAB -
22848 2 69901481 AAK1 -
28971 11 77532155 AAMDC +
14 2 219134980 AAMP -
15 17 74449433 AANAT +
25980 20 34824381 AAR2 +
441376 8 117950438 AARD +
16 16 70323446 AARS -
57505 6 44281063 AARS2 -
80755 17 41116515 AARSD1 -
132949 4 57253666 AASDH -
60496 11 105946228 AASDHPPT +
10157 7 121784334 AASS -
26574 17 35306175 AATF +
9625 17 79139877 AATK -
18 16 8768422 ABAT +
19 9 107690518 ABCA1 -
10349 17 67240987 ABCA10 -
26154 2 216003151 ABCA12 -
154664 7 48211055 ABCA13 +
20 9 139923367 ABCA2 -
21 16 2390747 ABCA3 -
24 1 94586688 ABCA4 -
23461 17 67323385 ABCA5 -
23460 17 67138029 ABCA6 -
10347 19 1040102 ABCA7 +
10351 17 66951533 ABCA8 -
10350 17 67057205 ABCA9 -
5243 7 87342611 ABCB1 -
23456 1 229694442 ABCB10 -
8647 2 169887832 ABCB11 -
5244 7 87109751 ABCB4 -
340273 7 20654830 ABCB5 +
10058 2 220083712 ABCB6 -
11194 7 150725510 ABCB8 +
23457 12 123466196 ABCB9 -
4363 16 16043434 ABCC1 +
89845 6 43395104 ABCC10 +
85320 16 48281479 ABCC11 -
94160 16 48189929 ABCC12 -
1244 10 101542489 ABCC2 +
8714 17 48712138 ABCC3 +
10257 13 95953687 ABCC4 -
10057 3 183735803 ABCC5 -
368 16 16317379 ABCC6 -
6833 11 17498449 ABCC8 -
10060 12 22094336 ABCC9 -
225 12 40013553 ABCD2 -
5825 1 94883933 ABCD3 +
5826 14 74769759 ABCD4 -
6059 4 146019084 ABCE1 +
23 6 30539153 ABCF1 +
10061 7 150924316 ABCF2 -
55324 3 183903811 ABCF3 +
9619 21 43619799 ABCG1 +
9429 4 89152474 ABCG2 -
64137 11 119019722 ABCG4 +
64240 2 44066004 ABCG5 -
64241 2 44066103 ABCG8 +
84696 2 27346682 ABHD1 +
55347 3 111697857 ABHD10 +
83451 7 73153197 ABHD11 -
26090 20 25371619 ABHD12 -
145447 14 51338878 ABHD12B +
84945 13 108870727 ABHD13 +
25864 3 52005442 ABHD14A +
84836 3 52017425 ABHD14B -
116236 17 27894155 ABHD15 -
7920 6 31671221 ABHD16A -
140701 20 62492566 ABHD16B +
81926 19 1885546 ABHD17A -
51104 9 74525847 ABHD17B -
58489 15 80972025 ABHD17C +
11057 15 89630690 ABHD2 +
171586 18 19284766 ABHD3 -
63874 14 23067146 ABHD4 +
51099 3 43731605 ABHD5 +
57406 3 58223233 ABHD6 +
79575 19 17421045 ABHD8 -
10006 10 27150016 ABI1 -
10152 2 204192942 ABI2 +
51225 17 47287589 ABI3 +
25890 3 100712359 ABI3BP -
25 9 133589333 ABL1 +
27 1 179198819 ABL2 -
3983 10 116444762 ABLIM1 -
84448 4 8160559 ABLIM2 -
22885 5 148521046 ABLIM3 +
29 17 1132315 ABR -
137735 8 107782473 ABRA -
58527 6 139349819 ABRACL +
29777 6 26597180 ABT1 +
80325 3 127391778 ABTB1 +
25841 11 34379555 ABTB2 -
30 3 38178733 ACAA1 -
10449 18 47340330 ACAA2 -
31 17 35766909 ACACA -
32 12 109554400 ACACB +
80724 12 112123857 ACAD10 +
84129 3 132379567 ACAD11 -
27034 11 134123389 ACAD8 +
28976 3 128598439 ACAD9 +
33 2 211090215 ACADL -
34 1 76190036 ACADM +
35 12 121163538 ACADS +
36 10 124768495 ACADSB +
37 17 7120444 ACADVL +
176 15 89346674 ACAN +
9744 17 7239848 ACAP1 +
23527 3 195163807 ACAP2 -
116983 1 1244989 ACAP3 -
38 11 107992243 ACAT1 +
39 6 160181360 ACAT2 +
64746 1 226374431 ACBD3 -
79777 17 43209967 ACBD4 +
91452 10 27531059 ACBD5 -
84320 1 180472089 ACBD6 -
414149 10 15130775 ACBD7 -
84680 11 44087475 ACCS +
390110 11 44069531 ACCSL +
65057 16 67694713 ACD -
1636 17 61554422 ACE +
125981 19 6333640 ACER1 -
340485 9 19408925 ACER2 +
55331 11 76571911 ACER3 +
43 7 100494594 ACHE -
22985 14 23564823 ACIN1 -
1238 3 42846244 ACKR2 +
57007 2 237476430 ACKR3 +
51554 3 132316081 ACKR4 +
47 17 40086795 ACLY -
130013 2 135596117 ACMSD +
48 9 32384618 ACO1 +
50 22 41865129 ACO2 +
641371 14 74003818 ACOT1 +
26027 1 55007930 ACOT11 +
134526 5 80689998 ACOT12 -
55856 6 24667263 ACOT13 +
10965 14 74034324 ACOT2 +
122970 14 74058410 ACOT4 +
641372 14 74077649 ACOT6 +
11332 1 6454451 ACOT7 -
10005 20 44486045 ACOT8 -
51 17 73975515 ACOX1 -
8309 3 58523046 ACOX2 -
8310 4 8442450 ACOX3 -
55289 2 111490150 ACOXL +
52 2 264140 ACP1 +
53 11 47270457 ACP2 -
54 19 11689823 ACP5 -
51205 1 147142618 ACP6 -
55 3 132036211 ACPP +
93650 19 51293672 ACPT +
49 22 51176624 ACR +
84519 12 6756626 ACRBP -
56 11 125551018 ACRV1 -
23205 15 78538030 ACSBG1 -
81616 19 6135258 ACSBG2 +
80221 17 48503519 ACSF2 +
197322 16 89154783 ACSF3 +
2180 4 185747972 ACSL1 -
2181 2 223725652 ACSL3 +
51703 10 114133776 ACSL5 +
23305 5 131347936 ACSL6 -
116285 16 20710212 ACSM1 -
123876 16 20462783 ACSM2A +
348158 16 20587749 ACSM2B -
6296 16 20621565 ACSM3 +
341392 12 7456880 ACSM4 +
54988 16 20420856 ACSM5 +
84532 20 25039616 ACSS1 -
55902 20 33459949 ACSS2 +
79611 12 81331594 ACSS3 +
58 1 229569845 ACTA1 -
59 10 90751147 ACTA2 -
60 7 5603415 ACTB -
345651 5 56778636 ACTBL2 -
70 15 35088340 ACTC1 -
71 17 79490873 ACTG1 -
72 2 74119441 ACTG2 +
170487 20 32254304 ACTL10 +
86 3 179280668 ACTL6A +
51412 7 100254084 ACTL6B -
10881 9 111624603 ACTL7A +
10880 9 111619239 ACTL7B -
81569 1 18081808 ACTL8 +
284382 19 8809172 ACTL9 -
87 14 69446157 ACTN1 -
88 1 236849754 ACTN2 +
81 19 39138289 ACTN4 +
55860 14 58666798 ACTR10 +
10121 10 104262482 ACTR1A -
10120 2 98280570 ACTR1B -
10097 2 65454887 ACTR2 +
10096 2 114647537 ACTR3 +
57180 7 152456834 ACTR3B +
653857 7 150020814 ACTR3C -
79913 20 37377085 ACTR5 +
64431 12 100592900 ACTR6 +
93973 3 53916229 ACTR8 -
140625 1 2938046 ACTRT2 +
84517 3 169487683 ACTRT3 -
90 2 158732374 ACVR1 -
91 12 52345451 ACVR1B +
130399 2 158485517 ACVR1C -
92 2 148602086 ACVR2A +
93 3 38495342 ACVR2B +
94 12 52300692 ACVRL1 +
95 3 52009066 ACY1 +
91703 11 67418130 ACY3 -
97 14 75536186 ACYP1 -
98 2 54197975 ACYP2 +
100 20 43280874 ADA -
132612 4 123300121 ADAD1 +
161931 16 84224744 ADAD2 +
161823 15 43622872 ADAL +
102 15 59042177 ADAM10 -
4185 17 42836399 ADAM11 +
8038 10 128077024 ADAM12 -
8751 1 155023042 ADAM15 +
6868 2 9695921 ADAM17 -
8749 8 39442008 ADAM18 +
8728 5 157002783 ADAM19 -
2515 8 39695808 ADAM2 -
8748 14 71001732 ADAM20 -
8747 14 70918874 ADAM21 +
53616 7 87563458 ADAM22 +
8745 2 207308263 ADAM23 +
10863 8 24151553 ADAM28 +
11086 4 175750819 ADAM29 +
11085 1 120439118 ADAM30 -
203102 8 38964509 ADAM32 +
80332 20 3662893 ADAM33 -
8756 8 24298443 ADAM7 +
101 10 135090372 ADAM8 -
8754 8 38854388 ADAM9 +
27299 8 24241798 ADAMDEC1 +
9510 21 28217728 ADAMTS1 -
81794 19 8675620 ADAMTS10 -
81792 5 33892297 ADAMTS12 -
11093 9 136279478 ADAMTS13 +
140766 10 72432559 ADAMTS14 +
170689 11 130318869 ADAMTS15 +
170690 5 5140443 ADAMTS16 +
170691 15 100882210 ADAMTS17 -
170692 16 77469011 ADAMTS18 -
171019 5 128795958 ADAMTS19 +
9509 5 178772431 ADAMTS2 -
80070 12 43945724 ADAMTS20 -
9508 4 73434516 ADAMTS3 -
9507 1 161168846 ADAMTS4 -
11096 21 28338832 ADAMTS5 -
11174 5 64777747 ADAMTS6 -
11173 15 79103773 ADAMTS7 -
11095 11 130298888 ADAMTS8 -
56999 3 64673676 ADAMTS9 -
92949 9 18473892 ADAMTSL1 +
9719 9 136397286 ADAMTSL2 +
57188 15 84322838 ADAMTSL3 +
54507 1 150521884 ADAMTSL4 +
339366 19 1513603 ADAMTSL5 -
11033 7 995043 ADAP1 -
55803 17 29233362 ADAP2 +
103 1 154600475 ADAR -
104 21 46493768 ADARB1 +
105 10 1779670 ADARB2 -
23536 16 75657198 ADAT1 -
134637 6 143771810 ADAT2 -
113179 19 1905377 ADAT3 +
57143 14 78266426 ADCK1 +
90956 7 140372953 ADCK2 +
56997 1 227085237 ADCK3 +
79934 19 41224112 ADCK4 -
203054 8 145596790 ADCK5 +
107 7 45613739 ADCY1 +
55811 1 167883453 ADCY10 -
108 5 7396321 ADCY2 +
109 2 25142708 ADCY3 -
196883 14 24804299 ADCY4 -
111 3 123168605 ADCY5 -
112 12 49182820 ADCY6 -
113 16 50280048 ADCY7 +
